,total_counts,area,time,D (um^2/s),alpha (1/s)
0,429.9975296058751,443016,0.0,0.0065,0.0042
1,429.56777792954847,442526,1.0,0.0065,0.0042
2,429.56778741388626,442789,2.0,0.0065,0.0042
3,429.56769112199794,442948,3.0,0.0065,0.0042
4,429.5678890853623,442989,4.0,0.0065,0.0042
5,429.5676733022058,442919,5.0,0.0065,0.0042
6,429.567605827067,442750,6.0,0.0065,0.0042
7,429.56783661377074,442491,7.0,0.0065,0.0042
8,429.5678502698745,442141,8.0,0.0065,0.0042
9,429.5676468673111,441717,9.0,0.0065,0.0042
10,429.5676773516386,441221,10.0,0.0065,0.0042
11,429.56783063784985,440661,11.0,0.0065,0.0042
12,429.56770112405957,440043,12.0,0.0065,0.0042
13,429.5675740547189,439372,13.0,0.0065,0.0042
14,429.56771429504136,438665,14.0,0.0065,0.0042
15,429.5676012236751,437914,15.0,0.0065,0.0042
16,429.5676878777159,437118,16.0,0.0065,0.0042
17,429.56775410829863,436283,17.0,0.0065,0.0042
18,429.5675409191212,435406,18.0,0.0065,0.0042
19,429.5677771641405,434502,19.0,0.0065,0.0042
20,429.5675828876784,433572,20.0,0.0065,0.0042
21,429.56777788814725,432611,21.0,0.0065,0.0042
22,429.5677839144438,431617,22.0,0.0065,0.0042
23,429.5677103929242,430603,23.0,0.0065,0.0042
24,429.5676648223905,429572,24.0,0.0065,0.0042
25,429.5676347941631,428515,25.0,0.0065,0.0042
26,429.56776460434327,427435,26.0,0.0065,0.0042
27,429.5675633290201,426343,27.0,0.0065,0.0042
28,429.56767628205625,425235,28.0,0.0065,0.0042
29,429.5677445787585,424105,29.0,0.0065,0.0042
30,429.56770994913603,422964,30.0,0.0065,0.0042
31,429.5675914049101,421812,31.0,0.0065,0.0042
32,429.5677719658332,420642,32.0,0.0065,0.0042
33,429.5675505571468,419460,33.0,0.0065,0.0042
34,429.56776982292587,418268,34.0,0.0065,0.0042
35,429.56773175857415,417055,35.0,0.0065,0.0042
36,429.5675463106807,415836,36.0,0.0065,0.0042
37,429.5676779561519,414613,37.0,0.0065,0.0042
38,429.567756478253,413375,38.0,0.0065,0.0042
39,429.5675390472385,412138,39.0,0.0065,0.0042
40,429.5677252296489,410884,40.0,0.0065,0.0042
41,429.5676297847394,409616,41.0,0.0065,0.0042
42,429.56763341607234,408352,42.0,0.0065,0.0042
43,429.56763107800873,407081,43.0,0.0065,0.0042
44,429.56757798974996,405807,44.0,0.0065,0.0042
45,429.567649489197,404541,45.0,0.0065,0.0042
46,429.5676051797709,403260,46.0,0.0065,0.0042
47,429.56776157590895,401970,47.0,0.0065,0.0042
48,429.56765180018704,400678,48.0,0.0065,0.0042
49,429.56759313523094,399380,49.0,0.0065,0.0042
50,429.567672009489,398091,50.0,0.0065,0.0042
51,429.5677545554161,396800,51.0,0.0065,0.0042
52,429.5676734230301,395514,52.0,0.0065,0.0042
53,429.5676864265798,394216,53.0,0.0065,0.0042
54,429.56753900036074,392908,54.0,0.0065,0.0042
55,429.56758200253637,391608,55.0,0.0065,0.0042
56,429.5675831411518,390307,56.0,0.0065,0.0042
57,429.5675367074193,389009,57.0,0.0065,0.0042
58,429.5676395159587,387721,58.0,0.0065,0.0042
59,429.567706096138,386427,59.0,0.0065,0.0042
60,429.56767826715316,385126,60.0,0.0065,0.0042
61,429.56770077158797,383825,61.0,0.0065,0.0042
62,429.56754223934837,382525,62.0,0.0065,0.0042
63,429.5675398552474,381234,63.0,0.0065,0.0042
64,429.56754624824123,379943,64.0,0.0065,0.0042
65,429.56769924874493,378664,65.0,0.0065,0.0042
66,429.5677213250965,377375,66.0,0.0065,0.0042
67,429.5676603166263,376082,67.0,0.0065,0.0042
68,429.5675421300939,374796,68.0,0.0065,0.0042
69,429.567746826454,373511,69.0,0.0065,0.0042
70,429.5675848572898,372234,70.0,0.0065,0.0042
71,429.56765905982996,370963,71.0,0.0065,0.0042
72,429.5675822270125,369695,72.0,0.0065,0.0042
73,429.56753589171706,368421,73.0,0.0065,0.0042
74,429.56763436905374,367147,74.0,0.0065,0.0042
75,429.56767529606725,365881,75.0,0.0065,0.0042
76,429.5677110343824,364619,76.0,0.0065,0.0042
77,429.5676033029508,363362,77.0,0.0065,0.0042
78,429.5676799763586,362116,78.0,0.0065,0.0042
79,429.5677388354131,360864,79.0,0.0065,0.0042
80,429.56773853711826,359613,80.0,0.0065,0.0042
81,429.5676087148567,358365,81.0,0.0065,0.0042
82,429.56762356151853,357122,82.0,0.0065,0.0042
83,429.56762981714536,355888,83.0,0.0065,0.0042
84,429.56772687650033,354658,84.0,0.0065,0.0042
85,429.56760204468475,353437,85.0,0.0065,0.0042
86,429.56770585177225,352209,86.0,0.0065,0.0042
87,429.5675673003363,350983,87.0,0.0065,0.0042
88,429.56765348479524,349766,88.0,0.0065,0.0042
89,429.56769971760536,348552,89.0,0.0065,0.0042
90,429.5675623216889,347346,90.0,0.0065,0.0042
91,429.56771269933677,346149,91.0,0.0065,0.0042
92,429.56774583399925,344951,92.0,0.0065,0.0042
93,429.5675792857329,343753,93.0,0.0065,0.0042
94,429.5676312980836,342559,94.0,0.0065,0.0042
95,429.5676808050092,341372,95.0,0.0065,0.0042
96,429.5676485519556,340192,96.0,0.0065,0.0042
97,429.56766889377843,339017,97.0,0.0065,0.0042
98,429.5676470023384,337852,98.0,0.0065,0.0042
99,429.5677144497093,336678,99.0,0.0065,0.0042
100,429.567564040933,335505,100.0,0.0065,0.0042
101,429.9974987698662,443016,0.0,0.007,0.0042
102,429.5679395691841,442833,1.0,0.007,0.0042
103,429.56752965274865,443397,2.0,0.007,0.0042
104,429.5675766562201,443820,3.0,0.007,0.0042
105,429.5676395039831,444100,4.0,0.007,0.0042
106,429.5677116168511,444262,5.0,0.007,0.0042
107,429.567535847872,444318,6.0,0.007,0.0042
108,429.5675362077837,444265,7.0,0.007,0.0042
109,429.56756667911475,444116,8.0,0.007,0.0042
110,429.5676875331129,443876,9.0,0.007,0.0042
111,429.5675328898617,443558,10.0,0.007,0.0042
112,429.5676024633892,443171,11.0,0.007,0.0042
113,429.5677882606413,442720,12.0,0.007,0.0042
114,429.56753731096694,442216,13.0,0.007,0.0042
115,429.567760359955,441657,14.0,0.007,0.0042
116,429.567501315096,441046,15.0,0.007,0.0042
117,429.5677165843339,440397,16.0,0.007,0.0042
118,429.5676236401065,439702,17.0,0.007,0.0042
119,429.5676031937236,438965,18.0,0.007,0.0042
120,429.5676076433076,438193,19.0,0.007,0.0042
121,429.5676768828773,437382,20.0,0.007,0.0042
122,429.56764617718005,436535,21.0,0.007,0.0042
123,429.5677120435709,435666,22.0,0.007,0.0042
124,429.56771548369346,434772,23.0,0.007,0.0042
125,429.5675938438976,433849,24.0,0.007,0.0042
126,429.56770228861336,432899,25.0,0.007,0.0042
127,429.5677308208023,431925,26.0,0.007,0.0042
128,429.56768458140266,430937,27.0,0.007,0.0042
129,429.5677225344195,429929,28.0,0.007,0.0042
130,429.56766267928396,428897,29.0,0.007,0.0042
131,429.5676161667852,427847,30.0,0.007,0.0042
132,429.5677367205265,426786,31.0,0.007,0.0042
133,429.5676603129036,425706,32.0,0.007,0.0042
134,429.56757423291845,424605,33.0,0.007,0.0042
135,429.56759997002916,423496,34.0,0.007,0.0042
136,429.5676417814524,422379,35.0,0.007,0.0042
137,429.5676749884552,421244,36.0,0.007,0.0042
138,429.5675582359412,420092,37.0,0.007,0.0042
139,429.5675971422197,418937,38.0,0.007,0.0042
140,429.5677217709251,417770,39.0,0.007,0.0042
141,429.5676439240221,416592,40.0,0.007,0.0042
142,429.5675675336082,415416,41.0,0.007,0.0042
143,429.5676572325061,414231,42.0,0.007,0.0042
144,429.56760533015824,413026,43.0,0.007,0.0042
145,429.56761159773026,411822,44.0,0.007,0.0042
146,429.56768477567323,410612,45.0,0.007,0.0042
147,429.567516825496,409394,46.0,0.007,0.0042
148,429.5675082426999,408182,47.0,0.007,0.0042
149,429.567575719335,406964,48.0,0.007,0.0042
150,429.56765783905314,405730,49.0,0.007,0.0042
151,429.56770264015375,404499,50.0,0.007,0.0042
152,429.56754873723776,403262,51.0,0.007,0.0042
153,429.5676379887089,402025,52.0,0.007,0.0042
154,429.5677079194852,400794,53.0,0.007,0.0042
155,429.5676105386288,399556,54.0,0.007,0.0042
156,429.5675304321848,398309,55.0,0.007,0.0042
157,429.56755966312534,397065,56.0,0.007,0.0042
158,429.5675575377957,395816,57.0,0.007,0.0042
159,429.5676582039235,394573,58.0,0.007,0.0042
160,429.5676057436439,393333,59.0,0.007,0.0042
161,429.56757567153454,392089,60.0,0.007,0.0042
162,429.5675244540952,390841,61.0,0.007,0.0042
163,429.5676179769878,389593,62.0,0.007,0.0042
164,429.5675278190317,388344,63.0,0.007,0.0042
165,429.5676045897422,387103,64.0,0.007,0.0042
166,429.5676104419555,385862,65.0,0.007,0.0042
167,429.56761718249714,384624,66.0,0.007,0.0042
168,429.5675691228553,383381,67.0,0.007,0.0042
169,429.56756550973927,382136,68.0,0.007,0.0042
170,429.5676898365921,380898,69.0,0.007,0.0042
171,429.5676072369906,379663,70.0,0.007,0.0042
172,429.56756691445094,378430,71.0,0.007,0.0042
